Height: 49.8501, Sum: 1000
x	y	r
1.000	1.000	1.000
2.854	0.859	0.859
4.551	0.838	0.838
6.213	0.825	0.825
7.853	0.815	0.815
9.476	0.808	0.808
11.085	0.801	0.801
12.682	0.796	0.796
14.269	0.791	0.791
15.847	0.787	0.787
17.417	0.783	0.783
18.979	0.779	0.779
20.534	0.776	0.776
22.083	0.773	0.773
23.626	0.770	0.770
24.602	0.309	0.309
0.494	2.406	0.494
1.713	2.585	0.738
3.182	2.424	0.740
4.663	2.413	0.741
6.147	2.392	0.743
7.634	2.358	0.744
9.123	2.321	0.746
10.617	2.277	0.748
12.114	2.234	0.750
13.614	2.187	0.751
15.118	2.143	0.753
16.625	2.118	0.755
18.137	2.144	0.757
19.654	2.162	0.760
21.176	2.174	0.762
22.702	2.180	0.764
24.233	2.182	0.767
0.323	3.185	0.304
1.064	3.886	0.716
2.495	3.812	0.717
3.924	3.679	0.718
5.362	3.696	0.720
6.803	3.700	0.721
8.246	3.690	0.722
9.691	3.676	0.723
11.138	3.654	0.724
12.587	3.631	0.725
14.037	3.602	0.726
15.490	3.575	0.727
16.946	3.567	0.729
18.405	3.607	0.730
19.865	3.638	0.731
21.329	3.661	0.733
22.796	3.675	0.734
24.265	3.684	0.735
0.490	4.947	0.490
1.660	5.172	0.701
3.061	5.112	0.701
4.459	4.995	0.702
5.863	5.028	0.703
7.270	5.047	0.704
8.679	5.050	0.705
10.089	5.048	0.705
11.500	5.037	0.706
12.913	5.025	0.707
14.328	5.006	0.708
15.745	4.989	0.709
17.164	4.990	0.710
18.584	5.037	0.711
20.006	5.074	0.712
21.431	5.103	0.713
22.858	5.122	0.714
24.286	5.133	0.714
0.768	6.236	0.687
2.121	6.482	0.688
3.497	6.432	0.689
4.870	6.323	0.689
6.249	6.366	0.690
7.629	6.395	0.691
9.011	6.406	0.691
10.394	6.411	0.692
11.779	6.408	0.693
13.165	6.402	0.693
14.552	6.390	0.694
15.941	6.379	0.695
17.331	6.385	0.695
18.721	6.437	0.696
20.114	6.479	0.697
21.508	6.512	0.698
22.904	6.533	0.698
24.301	6.546	0.699
0.304	7.106	0.299
1.179	7.535	0.676
2.508	7.791	0.677
3.862	7.749	0.678
5.214	7.646	0.678
6.570	7.697	0.679
7.928	7.732	0.679
9.287	7.749	0.680
10.647	7.759	0.680
12.008	7.763	0.681
13.371	7.762	0.682
14.735	7.754	0.682
16.100	7.748	0.683
17.466	7.756	0.683
18.831	7.813	0.684
20.200	7.859	0.685
21.569	7.894	0.685
22.940	7.917	0.686
24.313	7.932	0.687
0.306	7.697	0.292
0.475	8.443	0.473
1.548	8.826	0.667
2.856	9.089	0.667
4.190	9.054	0.667
5.521	8.957	0.668
6.857	9.014	0.669
8.194	9.053	0.669
9.533	9.076	0.670
10.873	9.090	0.670
12.214	9.099	0.671
13.556	9.102	0.671
14.899	9.098	0.672
16.243	9.095	0.672
17.588	9.107	0.673
18.933	9.166	0.673
20.279	9.215	0.674
21.626	9.252	0.674
22.975	9.277	0.675
24.325	9.294	0.675
0.642	9.770	0.641
1.897	10.104	0.657
3.184	10.373	0.658
4.499	10.342	0.658
5.812	10.250	0.658
7.128	10.314	0.659
8.445	10.357	0.659
9.764	10.386	0.660
11.084	10.404	0.660
12.404	10.418	0.661
13.726	10.423	0.661
15.049	10.424	0.662
16.373	10.423	0.662
17.698	10.438	0.663
19.023	10.499	0.663
20.349	10.551	0.664
21.676	10.589	0.664
23.005	10.617	0.665
24.335	10.634	0.665
0.945	11.024	0.649
2.195	11.375	0.649
3.463	11.650	0.649
4.762	11.623	0.650
6.059	11.535	0.650
7.358	11.604	0.651
8.660	11.650	0.651
9.962	11.683	0.652
11.266	11.703	0.652
12.570	11.720	0.652
13.875	11.729	0.653
15.181	11.732	0.653
16.488	11.734	0.654
17.796	11.751	0.654
19.103	11.815	0.655
20.412	11.869	0.655
21.721	11.907	0.655
23.032	11.937	0.656
24.344	11.954	0.656
0.352	11.830	0.352
1.237	12.280	0.641
2.469	12.637	0.642
3.723	12.915	0.642
5.007	12.892	0.642
6.289	12.807	0.643
7.573	12.880	0.643
8.858	12.928	0.643
10.145	12.966	0.644
11.432	12.988	0.644
12.721	13.008	0.645
14.011	13.020	0.645
15.301	13.024	0.645
16.592	13.030	0.646
17.884	13.048	0.646
19.175	13.115	0.647
20.468	13.170	0.647
21.762	13.208	0.647
23.056	13.241	0.648
24.352	13.258	0.648
0.279	12.418	0.241
0.483	13.112	0.482
1.520	13.523	0.634
2.735	13.885	0.634
3.973	14.167	0.635
5.243	14.147	0.635
6.510	14.066	0.635
7.779	14.142	0.636
9.050	14.193	0.636
