case,prediction
0,1.45E-02
1,9.98E-01
2,1.65E-02
3,9.99E-01
4,1.94E-01
5,5.55E-02
6,9.63E-01
7,9.54E-01
8,9.90E-01
9,1.79E-03
10,1.20E-01
11,4.25E-03
12,9.90E-01
13,9.88E-01
14,1.56E-01
15,1.29E-01
16,5.57E-02
17,9.82E-01
18,4.57E-01
19,9.73E-01
20,4.14E-01
21,7.84E-03
22,3.04E-03
23,8.46E-03
24,1.52E-02
25,1.76E-01
26,9.81E-01
27,8.39E-03
28,9.99E-01
29,5.05E-01
30,9.87E-01
31,9.95E-01
32,9.89E-01
33,5.15E-02
34,6.65E-01
35,9.95E-01
36,9.86E-01
37,9.60E-03
38,6.48E-02
39,2.93E-02
40,9.97E-01
41,9.98E-01
42,5.22E-03
43,6.52E-03
44,9.44E-01
45,6.06E-03
46,9.87E-01
47,9.83E-01
48,1.52E-01
49,9.98E-01
50,9.93E-01
51,9.96E-01
52,9.78E-01
53,7.20E-03
54,1.52E-02
55,8.73E-01
56,5.12E-01
57,9.64E-01
58,1.00E-01
59,2.10E-03
60,9.99E-01
61,1.06E-02
62,5.06E-03
63,9.99E-01
64,4.63E-03
65,3.83E-01
66,9.98E-01
67,9.98E-01
68,9.69E-01
69,9.94E-01
70,6.21E-01
71,7.26E-03
72,6.50E-02
73,1.88E-03
74,1.93E-01
75,9.98E-01
76,9.80E-01
77,3.47E-01
78,9.97E-01
79,7.76E-01
80,7.32E-01
81,2.45E-02
82,1.54E-03
83,2.71E-01
84,9.66E-01
85,5.96E-01
86,7.72E-01
87,4.20E-01
88,7.64E-01
89,1.00E+00
90,9.98E-01
91,3.43E-01
92,6.89E-02
93,9.89E-01
94,2.48E-02
95,9.99E-01
96,8.23E-01
97,2.63E-01
98,9.99E-01
99,6.20E-03
100,7.66E-01
101,1.21E-02
102,6.65E-01
103,1.68E-03
104,9.98E-01
105,3.55E-03
106,9.71E-01
107,6.81E-03
108,4.37E-02
109,6.83E-01
110,9.57E-01
111,9.96E-01
112,7.40E-02
113,9.99E-01
114,5.08E-03
115,8.64E-02
116,6.29E-03
117,1.61E-02
118,1.65E-03
119,9.98E-01
120,9.94E-01
121,1.99E-02
122,2.23E-01
123,9.97E-01
124,6.18E-03
125,8.08E-01
126,9.87E-01
127,9.99E-01
128,2.25E-03
129,1.35E-01
130,9.17E-01
131,3.83E-02
132,1.80E-01
133,3.29E-03
134,9.82E-01
135,7.81E-02
136,2.02E-03
